origin_id,destination_id,entry_cost,network_cost,exit_cost,total_cost
Lavalle,General Alvear,1678.7503915,516804.1334383,7655.6721382,526138.5559681
Lavalle,General Paz,1678.7503915,242071.2754850,6015.2852591,249765.3111356
Lavalle,Goya,1678.7503915,15113.4625515,1494.5167008,18286.7296438
Lavalle,Itati,1678.7503915,272307.2915245,4472.0653505,278458.1072665
Lavalle,Ituzaingo,1678.7503915,647272.0849314,24557.9510498,673508.7863728
Lavalle,Lavalle,1678.7503915,0.0000000,24557.9510498,673508.7863728
Lavalle,Mburucuya,1678.7503915,162364.4297522,3592.2605237,167635.4406674
Lavalle,Mercedes,1678.7503915,162364.4297522,3592.2605237,167635.4406674
Lavalle,Monte Caseros,1678.7503915,344621.8529367,6807.9618565,353108.5651847
Lavalle,Paso de los Libres,1678.7503915,377596.2328247,6472.8507322,385747.8339485
Lavalle,Saladas,1678.7503915,122168.9855730,9751.5790731,133599.3150376
Lavalle,San Cosme,1678.7503915,246446.2705740,6100.8763047,254225.8972702
Lavalle,San Luis del Palmar,1678.7503915,223248.9651345,8312.4536459,233240.1691719
Lavalle,San Martin,1678.7503915,446588.3306502,10757.3035760,459024.3846177
Lavalle,San Miguel,1678.7503915,267204.8040309,10516.2065832,279399.7610056
Lavalle,San Roque,1678.7503915,86079.8769589,1050.3210138,88808.9483642
Lavalle,Santo Tome,1678.7503915,700926.0630870,5968.9673074,708573.7807859
Lavalle,Sauce,1678.7503915,285089.8817688,3541.5156726,290310.1478330
Mburucuya,Capital,3592.2605237,101277.2885980,3607.4880025,108477.0371241
Mburucuya,Bella Vista,3592.2605237,116427.4396226,15030.3476304,135050.0477767
Mburucuya,Departartamento Beron de Astrada,3592.2605237,127076.5251780,6694.4310392,137363.2167409
Mburucuya,Departamento concepcion,3592.2605237,52121.6426468,2051.5111523,57765.4143227
Mburucuya,Curuzu Cuatia,3592.2605237,326648.0305729,3643.2733238,333883.5644204
Mburucuya,Empedrado,3592.2605237,66588.0589434,5189.5280649,75369.8475320
Mburucuya,Esquina,3592.2605237,409250.7166424,4349.8987111,417192.8758771
Mburucuya,General Alvear,3592.2605237,557744.5789933,7655.6721382,568992.5116552
Mburucuya,General Paz,3592.2605237,79706.8457328,6015.2852591,89314.3915155
Mburucuya,Goya,3592.2605237,177477.8923037,1494.5167008,182564.6695281
Mburucuya,Itati,3592.2605237,125797.0050456,4472.0653505,133861.3309197
